customer_id,credit_score,risk_grade,external_active_loans,external_overdue_amount,bureau_pull_date
1115,645,MEDIUM,3,0,2025-01-01
1116,464,HIGH,1,500,2025-01-01
1117,548,HIGH,3,0,2025-01-01
1118,509,HIGH,2,0,2025-01-01
1119,812,LOW,3,1500,2025-01-01
1120,728,LOW,1,0,2025-01-01
1121,556,HIGH,2,500,2025-01-01
1122,739,LOW,0,500,2025-01-01
1123,811,LOW,0,0,2025-01-01
1124,546,HIGH,1,0,2025-01-01
1125,481,HIGH,3,1500,2025-01-01
1126,319,HIGH,0,0,2025-01-01
1127,338,HIGH,0,0,2025-01-01
1128,708,LOW,0,500,2025-01-01
1129,382,HIGH,2,0,2025-01-01
1130,511,HIGH,2,0,2025-01-01
1131,684,LOW,1,0,2025-01-01
1132,392,HIGH,4,1500,2025-01-01
1133,406,HIGH,3,0,2025-01-01
1134,687,LOW,2,1500,2025-01-01
1135,410,HIGH,2,0,2025-01-01
1136,600,MEDIUM,3,0,2025-01-01
1137,636,MEDIUM,4,0,2025-01-01
1138,843,LOW,3,0,2025-01-01
1139,371,HIGH,2,1500,2025-01-01
1140,758,LOW,2,0,2025-01-01
1141,708,LOW,2,1500,2025-01-01
1142,527,HIGH,3,0,2025-01-01
1143,549,HIGH,4,0,2025-01-01
1144,776,LOW,2,1500,2025-01-01
1145,411,HIGH,1,500,2025-01-01
1146,584,MEDIUM,1,0,2025-01-01
1147,591,MEDIUM,4,0,2025-01-01
1148,416,HIGH,2,0,2025-01-01
1149,589,MEDIUM,0,500,2025-01-01
1150,362,HIGH,4,0,2025-01-01
1151,631,MEDIUM,2,0,2025-01-01
1152,833,LOW,0,500,2025-01-01
1153,768,LOW,1,1500,2025-01-01
1154,763,LOW,2,500,2025-01-01
1155,790,LOW,1,1500,2025-01-01
1156,424,HIGH,1,0,2025-01-01
1157,846,LOW,1,0,2025-01-01
1158,603,MEDIUM,1,0,2025-01-01
1159,774,LOW,1,0,2025-01-01
1160,317,HIGH,0,0,2025-01-01
1161,695,LOW,0,0,2025-01-01
1162,525,HIGH,0,500,2025-01-01
1163,497,HIGH,0,500,2025-01-01
1164,324,HIGH,0,0,2025-01-01
1165,784,LOW,1,0,2025-01-01
1166,784,LOW,1,0,2025-01-01
1167,535,HIGH,4,0,2025-01-01
1168,526,HIGH,1,0,2025-01-01
1169,764,LOW,1,0,2025-01-01
1170,338,HIGH,2,0,2025-01-01
1171,493,HIGH,3,1500,2025-01-01
1172,765,LOW,2,0,2025-01-01
1173,730,LOW,3,500,2025-01-01
1174,752,LOW,1,0,2025-01-01
1175,592,MEDIUM,1,0,2025-01-01
1176,798,LOW,3,0,2025-01-01
1177,347,HIGH,1,500,2025-01-01
1178,627,MEDIUM,3,0,2025-01-01
1179,528,HIGH,0,0,2025-01-01
1180,360,HIGH,1,0,2025-01-01
1181,429,HIGH,0,1500,2025-01-01
1182,670,LOW,1,0,2025-01-01
1183,694,LOW,4,500,2025-01-01
1184,692,LOW,0,0,2025-01-01
1185,397,HIGH,2,1500,2025-01-01
1186,360,HIGH,1,0,2025-01-01
1187,321,HIGH,2,0,2025-01-01
1188,418,HIGH,4,0,2025-01-01
1189,636,MEDIUM,2,500,2025-01-01
1190,797,LOW,1,0,2025-01-01
1191,834,LOW,4,0,2025-01-01
1192,680,LOW,3,1500,2025-01-01
1193,577,HIGH,3,0,2025-01-01
1194,467,HIGH,3,1500,2025-01-01
1195,334,HIGH,4,0,2025-01-01
1196,595,MEDIUM,1,500,2025-01-01
1197,359,HIGH,1,0,2025-01-01
1198,459,HIGH,1,0,2025-01-01
1199,849,LOW,4,500,2025-01-01
1200,760,LOW,0,0,2025-01-01
1201,571,HIGH,3,1500,2025-01-01
1202,536,HIGH,0,0,2025-01-01
1203,786,LOW,0,0,2025-01-01
1204,849,LOW,0,500,2025-01-01
1205,554,HIGH,1,1500,2025-01-01
1206,463,HIGH,2,0,2025-01-01
1207,745,LOW,3,1500,2025-01-01
1208,713,LOW,1,0,2025-01-01
1209,448,HIGH,3,1500,2025-01-01
1210,370,HIGH,1,500,2025-01-01
1211,450,HIGH,4,0,2025-01-01
1212,563,HIGH,1,0,2025-01-01
1213,774,LOW,4,0,2025-01-01
1214,763,LOW,0,0,2025-01-01
1215,675,LOW,2,0,2025-01-01
1216,546,HIGH,2,0,2025-01-01
1217,735,LOW,0,0,2025-01-01
1218,605,MEDIUM,0,0,2025-01-01
1219,399,HIGH,2,500,2025-01-01
1220,571,HIGH,1,0,2025-01-01
1221,332,HIGH,1,1500,2025-01-01
1222,426,HIGH,4,0,2025-01-01
1223,674,LOW,0,0,2025-01-01
1224,361,HIGH,1,500,2025-01-01
1225,536,HIGH,1,0,2025-01-01
1226,415,HIGH,1,0,2025-01-01
1227,348,HIGH,2,0,2025-01-01
1228,354,HIGH,3,0,2025-01-01
1229,824,LOW,0,0,2025-01-01
1230,435,HIGH,0,0,2025-01-01
1231,723,LOW,4,1500,2025-01-01
1232,530,HIGH,2,0,2025-01-01
1233,423,HIGH,2,0,2025-01-01
1234,844,LOW,1,1500,2025-01-01
1235,782,LOW,0,0,2025-01-01
1236,783,LOW,3,0,2025-01-01
1237,316,HIGH,3,1500,2025-01-01
1238,506,HIGH,0,0,2025-01-01
1239,397,HIGH,3,0,2025-01-01
1240,602,MEDIUM,4,0,2025-01-01
1241,388,HIGH,3,500,2025-01-01
1242,600,MEDIUM,2,0,2025-01-01
1243,658,MEDIUM,0,0,2025-01-01
1244,626,MEDIUM,2,0,2025-01-01
1245,537,HIGH,1,0,2025-01-01
1246,576,HIGH,2,0,2025-01-01
1247,808,LOW,3,1500,2025-01-01
1248,741,LOW,0,0,2025-01-01
1249,630,MEDIUM,3,0,2025-01-01
1250,821,LOW,4,0,2025-01-01
1251,554,HIGH,1,0,2025-01-01
1252,728,LOW,0,1500,2025-01-01
1253,702,LOW,0,1500,2025-01-01
1254,634,MEDIUM,3,0,2025-01-01
1255,399,HIGH,2,0,2025-01-01
1256,300,HIGH,1,0,2025-01-01
1257,760,LOW,4,0,2025-01-01
1258,721,LOW,3,0,2025-01-01
1259,532,HIGH,3,0,2025-01-01
1260,350,HIGH,2,0,2025-01-01
1261,701,LOW,0,500,2025-01-01
1262,664,MEDIUM,1,500,2025-01-01
1263,764,LOW,0,0,2025-01-01
1264,618,MEDIUM,3,0,2025-01-01
1265,706,LOW,2,0,2025-01-01
1266,461,HIGH,1,1500,2025-01-01
1267,844,LOW,0,0,2025-01-01
1268,766,LOW,2,500,2025-01-01
1269,469,HIGH,1,1500,2025-01-01
1270,757,LOW,2,0,2025-01-01
1271,380,HIGH,2,0,2025-01-01
1272,332,HIGH,0,0,2025-01-01
1273,407,HIGH,3,0,2025-01-01
1274,479,HIGH,4,0,2025-01-01
1275,302,HIGH,3,0,2025-01-01
1276,573,HIGH,4,1500,2025-01-01
1277,497,HIGH,2,0,2025-01-01
1278,404,HIGH,4,0,2025-01-01
1279,694,LOW,0,500,2025-01-01
1280,702,LOW,4,0,2025-01-01
1281,661,MEDIUM,3,0,2025-01-01
1282,729,LOW,3,0,2025-01-01
1283,382,HIGH,2,0,2025-01-01
1284,477,HIGH,1,0,2025-01-01
1285,534,HIGH,1,1500,2025-01-01
1286,418,HIGH,2,500,2025-01-01
1287,588,MEDIUM,2,0,2025-01-01
1288,590,MEDIUM,3,0,2025-01-01
1289,574,HIGH,2,0,2025-01-01
1290,321,HIGH,2,0,2025-01-01
1291,830,LOW,3,500,2025-01-01
1292,358,HIGH,0,0,2025-01-01
1293,366,HIGH,1,0,2025-01-01
1294,318,HIGH,3,0,2025-01-01
1295,549,HIGH,0,0,2025-01-01
1296,399,HIGH,1,1500,2025-01-01
1297,610,MEDIUM,2,1500,2025-01-01
1298,664,MEDIUM,1,500,2025-01-01
1299,306,HIGH,4,1500,2025-01-01
1300,368,HIGH,1,0,2025-01-01
1301,693,LOW,0,0,2025-01-01
1302,307,HIGH,2,0,2025-01-01
1303,653,MEDIUM,4,0,2025-01-01
1304,362,HIGH,1,1500,2025-01-01
1305,349,HIGH,2,0,2025-01-01
1306,557,HIGH,2,0,2025-01-01
1307,301,HIGH,3,0,2025-01-01
1308,310,HIGH,0,0,2025-01-01
1309,756,LOW,2,0,2025-01-01
1310,487,HIGH,2,1500,2025-01-01
1311,536,HIGH,3,1500,2025-01-01
1312,738,LOW,2,0,2025-01-01
1313,451,HIGH,0,500,2025-01-01
1314,311,HIGH,4,1500,2025-01-01
1315,391,HIGH,1,0,2025-01-01
1316,596,MEDIUM,1,0,2025-01-01
1317,300,HIGH,1,0,2025-01-01
1318,599,MEDIUM,2,0,2025-01-01
1319,685,LOW,3,0,2025-01-01
1320,309,HIGH,0,0,2025-01-01
1321,624,MEDIUM,4,0,2025-01-01
1322,775,LOW,2,0,2025-01-01
1323,669,MEDIUM,4,0,2025-01-01
1324,650,MEDIUM,1,0,2025-01-01
1325,841,LOW,1,0,2025-01-01
1326,544,HIGH,3,500,2025-01-01
1327,598,MEDIUM,2,0,2025-01-01
1328,480,HIGH,2,0,2025-01-01
1329,417,HIGH,1,0,2025-01-01
1330,664,MEDIUM,2,0,2025-01-01
1331,440,HIGH,2,0,2025-01-01
1332,447,HIGH,1,0,2025-01-01
1333,661,MEDIUM,4,0,2025-01-01
1334,447,HIGH,1,0,2025-01-01
1335,832,LOW,4,0,2025-01-01
1336,694,LOW,4,1500,2025-01-01
1337,380,HIGH,0,0,2025-01-01
1338,751,LOW,2,0,2025-01-01
1339,443,HIGH,0,0,2025-01-01
1340,521,HIGH,4,0,2025-01-01
1341,360,HIGH,3,0,2025-01-01
1342,697,LOW,2,0,2025-01-01
1343,714,LOW,1,1500,2025-01-01
1344,774,LOW,2,500,2025-01-01
1345,406,HIGH,4,0,2025-01-01
1346,559,HIGH,4,500,2025-01-01
1347,623,MEDIUM,2,0,2025-01-01
1348,753,LOW,2,500,2025-01-01
1349,500,HIGH,2,0,2025-01-01
1350,429,HIGH,1,500,2025-01-01
1351,544,HIGH,4,0,2025-01-01
1352,537,HIGH,0,500,2025-01-01
1353,775,LOW,4,500,2025-01-01
1354,562,HIGH,4,0,2025-01-01
1355,522,HIGH,1,0,2025-01-01
1356,336,HIGH,3,0,2025-01-01
1357,754,LOW,2,0,2025-01-01
1358,771,LOW,0,500,2025-01-01
1359,421,HIGH,2,1500,2025-01-01
1360,540,HIGH,1,0,2025-01-01
1361,409,HIGH,1,0,2025-01-01
1362,700,LOW,1,0,2025-01-01
1363,403,HIGH,3,1500,2025-01-01
1364,558,HIGH,1,0,2025-01-01
1365,382,HIGH,0,0,2025-01-01
1366,733,LOW,1,0,2025-01-01
1367,441,HIGH,3,0,2025-01-01
1368,651,MEDIUM,3,0,2025-01-01
1369,439,HIGH,4,0,2025-01-01
1370,431,HIGH,0,0,2025-01-01
1371,669,MEDIUM,1,0,2025-01-01
1372,326,HIGH,0,0,2025-01-01
1373,704,LOW,0,500,2025-01-01
1374,680,LOW,2,0,2025-01-01
1375,444,HIGH,2,500,2025-01-01
1376,659,MEDIUM,3,500,2025-01-01
1377,673,LOW,2,0,2025-01-01
1378,820,LOW,4,1500,2025-01-01
1379,502,HIGH,3,0,2025-01-01
1380,672,LOW,0,0,2025-01-01
1381,482,HIGH,1,0,2025-01-01
1382,344,HIGH,1,500,2025-01-01
1383,312,HIGH,0,0,2025-01-01
1384,531,HIGH,3,0,2025-01-01
1385,587,MEDIUM,0,0,2025-01-01
1386,658,MEDIUM,4,500,2025-01-01
1387,801,LOW,3,0,2025-01-01
1388,698,LOW,4,0,2025-01-01
1389,791,LOW,1,0,2025-01-01
1390,393,HIGH,2,1500,2025-01-01
1391,750,LOW,0,0,2025-01-01
1392,595,MEDIUM,0,500,2025-01-01
1393,394,HIGH,2,0,2025-01-01
1394,598,MEDIUM,3,500,2025-01-01
1395,478,HIGH,3,500,2025-01-01
1396,420,HIGH,1,0,2025-01-01
1397,448,HIGH,1,0,2025-01-01
1398,698,LOW,4,0,2025-01-01
1399,371,HIGH,0,500,2025-01-01
1400,788,LOW,0,0,2025-01-01
1401,575,HIGH,3,0,2025-01-01
1402,659,MEDIUM,3,0,2025-01-01
1403,585,MEDIUM,2,0,2025-01-01
1404,344,HIGH,1,0,2025-01-01
1405,723,LOW,1,500,2025-01-01
1406,521,HIGH,2,0,2025-01-01
1407,344,HIGH,4,0,2025-01-01
1408,398,HIGH,1,0,2025-01-01
1409,689,LOW,4,0,2025-01-01
1410,598,MEDIUM,2,500,2025-01-01
1411,661,MEDIUM,4,0,2025-01-01
1412,793,LOW,0,0,2025-01-01
1413,747,LOW,3,1500,2025-01-01
1414,669,MEDIUM,2,1500,2025-01-01
1415,411,HIGH,4,0,2025-01-01
1416,366,HIGH,4,1500,2025-01-01
1417,359,HIGH,4,1500,2025-01-01
1418,721,LOW,0,1500,2025-01-01
1419,523,HIGH,0,0,2025-01-01
1420,399,HIGH,4,0,2025-01-01
1421,727,LOW,1,0,2025-01-01
1422,490,HIGH,1,0,2025-01-01
1423,559,HIGH,3,0,2025-01-01
1424,801,LOW,2,1500,2025-01-01
1425,834,LOW,2,0,2025-01-01
1426,649,MEDIUM,3,0,2025-01-01
1427,401,HIGH,0,0,2025-01-01
1428,600,MEDIUM,0,0,2025-01-01
1429,591,MEDIUM,0,0,2025-01-01
1430,802,LOW,1,1500,2025-01-01
1431,749,LOW,4,0,2025-01-01
1432,639,MEDIUM,1,500,2025-01-01
1433,665,MEDIUM,2,0,2025-01-01
1434,662,MEDIUM,1,1500,2025-01-01
1435,312,HIGH,3,0,2025-01-01
1436,406,HIGH,2,1500,2025-01-01
1437,800,LOW,2,0,2025-01-01
1438,355,HIGH,4,0,2025-01-01
1439,607,MEDIUM,0,0,2025-01-01
1440,533,HIGH,4,0,2025-01-01
1441,327,HIGH,0,500,2025-01-01
1442,835,LOW,2,0,2025-01-01
1443,496,HIGH,2,0,2025-01-01
1444,562,HIGH,4,1500,2025-01-01
1445,694,LOW,4,0,2025-01-01
1446,671,LOW,4,1500,2025-01-01
1447,628,MEDIUM,4,500,2025-01-01
1448,644,MEDIUM,2,0,2025-01-01
1449,685,LOW,3,0,2025-01-01
1450,342,HIGH,2,0,2025-01-01
1451,750,LOW,0,1500,2025-01-01
1452,822,LOW,0,0,2025-01-01
1453,539,HIGH,4,0,2025-01-01
1454,666,MEDIUM,2,0,2025-01-01
1455,653,MEDIUM,2,0,2025-01-01
1456,556,HIGH,3,500,2025-01-01
1457,662,MEDIUM,1,0,2025-01-01
1458,512,HIGH,3,1500,2025-01-01
1459,309,HIGH,2,1500,2025-01-01
1460,362,HIGH,3,0,2025-01-01
1461,480,HIGH,2,0,2025-01-01
1462,382,HIGH,0,0,2025-01-01
1463,705,LOW,0,0,2025-01-01
1464,398,HIGH,1,0,2025-01-01
1465,644,MEDIUM,3,1500,2025-01-01
1466,355,HIGH,1,0,2025-01-01
1467,731,LOW,0,1500,2025-01-01
1468,840,LOW,3,0,2025-01-01
1469,758,LOW,3,500,2025-01-01
1470,377,HIGH,4,0,2025-01-01
1471,655,MEDIUM,4,1500,2025-01-01
1472,677,LOW,2,0,2025-01-01
1473,301,HIGH,2,0,2025-01-01
1474,353,HIGH,3,0,2025-01-01
1475,301,HIGH,1,0,2025-01-01
1476,843,LOW,4,0,2025-01-01
1477,301,HIGH,3,0,2025-01-01
1478,539,HIGH,1,0,2025-01-01
1479,598,MEDIUM,1,0,2025-01-01
1480,718,LOW,4,0,2025-01-01
1481,390,HIGH,3,0,2025-01-01
1482,764,LOW,2,0,2025-01-01
1483,375,HIGH,0,0,2025-01-01
1484,491,HIGH,4,0,2025-01-01
1485,425,HIGH,4,0,2025-01-01
1486,502,HIGH,4,0,2025-01-01
1487,448,HIGH,4,1500,2025-01-01
1488,775,LOW,0,0,2025-01-01
1489,573,HIGH,0,500,2025-01-01
1490,640,MEDIUM,1,0,2025-01-01
1491,775,LOW,4,500,2025-01-01
1492,486,HIGH,3,500,2025-01-01
1493,682,LOW,1,0,2025-01-01
1494,475,HIGH,1,1500,2025-01-01
1495,754,LOW,2,1500,2025-01-01
1496,741,LOW,0,0,2025-01-01
1497,609,MEDIUM,1,500,2025-01-01
1498,308,HIGH,1,0,2025-01-01
1499,364,HIGH,0,0,2025-01-01
1500,640,MEDIUM,1,0,2025-01-01
1501,485,HIGH,2,1500,2025-01-01
1502,799,LOW,3,1500,2025-01-01
1503,695,LOW,0,1500,2025-01-01
1504,510,HIGH,4,0,2025-01-01
1505,627,MEDIUM,3,0,2025-01-01
1506,364,HIGH,0,0,2025-01-01
1507,555,HIGH,1,0,2025-01-01
1508,623,MEDIUM,0,0,2025-01-01
1509,835,LOW,1,500,2025-01-01
1510,605,MEDIUM,0,0,2025-01-01
1511,584,MEDIUM,2,0,2025-01-01
1512,592,MEDIUM,0,0,2025-01-01
1513,532,HIGH,2,0,2025-01-01
1514,567,HIGH,3,0,2025-01-01
1515,740,LOW,3,0,2025-01-01
1516,310,HIGH,3,0,2025-01-01
1517,417,HIGH,1,0,2025-01-01
1518,780,LOW,1,0,2025-01-01
1519,408,HIGH,2,500,2025-01-01
1520,517,HIGH,4,0,2025-01-01
1521,614,MEDIUM,1,1500,2025-01-01
1522,401,HIGH,2,0,2025-01-01
1523,479,HIGH,0,0,2025-01-01
1524,701,LOW,0,500,2025-01-01
1525,819,LOW,3,0,2025-01-01
1526,650,MEDIUM,2,500,2025-01-01
1527,445,HIGH,3,1500,2025-01-01
1528,549,HIGH,3,500,2025-01-01
1529,510,HIGH,4,1500,2025-01-01
1530,758,LOW,3,0,2025-01-01
1531,306,HIGH,4,1500,2025-01-01
1532,390,HIGH,3,0,2025-01-01
1533,630,MEDIUM,3,0,2025-01-01
1534,537,HIGH,4,0,2025-01-01
1535,365,HIGH,3,1500,2025-01-01
1536,483,HIGH,4,0,2025-01-01
1537,781,LOW,2,500,2025-01-01
1538,394,HIGH,2,1500,2025-01-01
1539,661,MEDIUM,0,0,2025-01-01
1540,708,LOW,0,0,2025-01-01
1541,325,HIGH,4,1500,2025-01-01
1542,508,HIGH,4,1500,2025-01-01
1543,808,LOW,0,0,2025-01-01
1544,388,HIGH,3,0,2025-01-01
1545,729,LOW,4,0,2025-01-01
1546,790,LOW,1,500,2025-01-01
1547,648,MEDIUM,2,0,2025-01-01
1548,783,LOW,2,1500,2025-01-01
1549,449,HIGH,4,0,2025-01-01
1550,516,HIGH,2,0,2025-01-01
1551,653,MEDIUM,0,0,2025-01-01
1552,300,HIGH,4,0,2025-01-01
1553,491,HIGH,0,1500,2025-01-01
1554,525,HIGH,2,1500,2025-01-01
1555,424,HIGH,4,0,2025-01-01
1556,601,MEDIUM,0,0,2025-01-01
1557,775,LOW,3,0,2025-01-01
1558,508,HIGH,1,0,2025-01-01
1559,482,HIGH,0,500,2025-01-01
1560,691,LOW,1,0,2025-01-01
1561,348,HIGH,4,0,2025-01-01
1562,481,HIGH,3,0,2025-01-01
1563,830,LOW,3,500,2025-01-01
1564,498,HIGH,0,0,2025-01-01
1565,549,HIGH,1,1500,2025-01-01
1566,566,HIGH,3,0,2025-01-01
1567,318,HIGH,4,0,2025-01-01
1568,392,HIGH,4,500,2025-01-01
1569,461,HIGH,4,500,2025-01-01
1570,575,HIGH,1,0,2025-01-01
1571,670,LOW,4,0,2025-01-01
1572,791,LOW,0,500,2025-01-01
1573,391,HIGH,4,0,2025-01-01
1574,466,HIGH,3,500,2025-01-01
1575,821,LOW,1,0,2025-01-01
1576,833,LOW,3,1500,2025-01-01
1577,723,LOW,4,1500,2025-01-01
1578,768,LOW,4,500,2025-01-01
1579,450,HIGH,1,500,2025-01-01
1580,337,HIGH,1,0,2025-01-01
1581,845,LOW,0,0,2025-01-01
1582,607,MEDIUM,4,0,2025-01-01
1583,400,HIGH,2,0,2025-01-01
1584,593,MEDIUM,2,0,2025-01-01
1585,658,MEDIUM,2,0,2025-01-01
1586,324,HIGH,4,0,2025-01-01
1587,309,HIGH,0,500,2025-01-01
1588,674,LOW,4,0,2025-01-01
1589,632,MEDIUM,2,0,2025-01-01
1590,477,HIGH,4,0,2025-01-01
1591,434,HIGH,3,500,2025-01-01
1592,569,HIGH,3,0,2025-01-01
1593,324,HIGH,4,0,2025-01-01
1594,336,HIGH,0,0,2025-01-01
1595,343,HIGH,1,0,2025-01-01
1596,530,HIGH,2,0,2025-01-01
1597,780,LOW,1,0,2025-01-01
1598,613,MEDIUM,3,0,2025-01-01
1599,484,HIGH,0,0,2025-01-01
1600,470,HIGH,3,0,2025-01-01
1601,695,LOW,0,0,2025-01-01
1602,418,HIGH,1,1500,2025-01-01
1603,755,LOW,3,1500,2025-01-01
1604,448,HIGH,4,0,2025-01-01
1605,455,HIGH,1,0,2025-01-01
1606,692,LOW,4,0,2025-01-01
1607,346,HIGH,4,500,2025-01-01
1608,722,LOW,2,0,2025-01-01
1609,369,HIGH,0,0,2025-01-01
1610,330,HIGH,0,0,2025-01-01
1611,553,HIGH,2,0,2025-01-01
1612,761,LOW,4,0,2025-01-01
1613,379,HIGH,0,0,2025-01-01
1614,487,HIGH,0,0,2025-01-01
1615,439,HIGH,4,500,2025-01-01
1616,438,HIGH,0,0,2025-01-01
1617,588,MEDIUM,2,500,2025-01-01
1618,478,HIGH,1,0,2025-01-01
1619,697,LOW,4,0,2025-01-01
1620,487,HIGH,0,0,2025-01-01
1621,750,LOW,2,500,2025-01-01
1622,310,HIGH,4,1500,2025-01-01
1623,508,HIGH,4,0,2025-01-01
1624,825,LOW,2,0,2025-01-01
1625,412,HIGH,2,1500,2025-01-01
1626,320,HIGH,0,500,2025-01-01
1627,846,LOW,0,500,2025-01-01
1628,645,MEDIUM,0,0,2025-01-01
1629,717,LOW,1,1500,2025-01-01
1630,534,HIGH,0,0,2025-01-01
1631,558,HIGH,2,1500,2025-01-01
1632,556,HIGH,0,0,2025-01-01
1633,541,HIGH,3,0,2025-01-01
1634,479,HIGH,0,0,2025-01-01
1635,442,HIGH,4,0,2025-01-01
1636,564,HIGH,4,0,2025-01-01
1637,740,LOW,4,1500,2025-01-01
1638,471,HIGH,2,0,2025-01-01
1639,595,MEDIUM,0,0,2025-01-01
1640,443,HIGH,2,0,2025-01-01
1641,723,LOW,0,0,2025-01-01
1642,326,HIGH,2,0,2025-01-01
1643,697,LOW,1,0,2025-01-01
1644,712,LOW,4,0,2025-01-01
1645,377,HIGH,4,0,2025-01-01
1646,383,HIGH,3,0,2025-01-01
1647,361,HIGH,1,0,2025-01-01
1648,804,LOW,3,1500,2025-01-01
1649,648,MEDIUM,2,0,2025-01-01
1650,676,LOW,1,0,2025-01-01
1651,672,LOW,3,1500,2025-01-01
1652,778,LOW,1,1500,2025-01-01
1653,303,HIGH,3,500,2025-01-01
1654,316,HIGH,3,1500,2025-01-01
1655,565,HIGH,4,0,2025-01-01
1656,392,HIGH,4,0,2025-01-01
